link,name
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20719/,Armários para lavatório
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20520/,Toalhas
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20802/,Arrumação para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20519/,Tapetes para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/18908/,Cortinas de duche
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20723/,Lavatórios
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20724/,Torneiras
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/40690/,Chuveiros
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/20490/,Espelhos para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/10555/,Acessórios para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/10736/,Iluminação de casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/bathroom/39269/,Roupões e chinelos
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/18750/,Candeeiros de teto
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/10732/,Candeeiros de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/10731/,Candeeiros de pé
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/20502/,Candeeiros de secretária
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/10803/,"Abajures, bases e cabos"
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/16280/,Iluminação integrada
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/20506/,Projetores
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/20503/,Candeeiros de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/18773/,Iluminação para crianças
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/10744/,Lâmpadas LED
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/40845/,Cabos e carregadores
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/20515/,Iluminação LED
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/14971/,Iluminação decorativa
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/17897/,Iluminação p/exterior
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/10736/,Iluminação de casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/lighting/24712/,Iluminação crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/10757/,Molduras e quadros
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/10760/,Porta-velas e velas
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/10768/,"Plantas, vasos e floreiras"
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/10769/,Jarras e taças
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/42926/,Perfumes para a casa
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/24924/,Acessórios decorativos
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/10759/,Relógios
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/20489/,Espelhos
https://www.ikea.com/pt/pt/catalog/categories/departments/decoration/25227/,Papelaria
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/10550/,Caixas de arrumação e cestos
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/10551/,Organizadores para arrumação multimédia
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/16274/,Ganchos e cabides
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/16213/,Cestos e sacos
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/18741/,Separação de resíduos
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/10452/,Organizadores para roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/10555/,Acessórios para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/15937/,Conservação e organização de alimentos
https://www.ikea.com/pt/pt/catalog/categories/departments/small_storage/37900/,Arrumação de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/10651/,Roupa de cama
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/10653/,Tapetes
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20520/,Toalhas
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20529/,Edredões
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20519/,Tapetes para casa de banho
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20533/,Almofadas
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/10654/,Cortinados e estores
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/18908/,Cortinas de duche
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20527/,Colchas
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/39269/,Roupões e chinelos
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/18891/,Varões e calhas para cortinados
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/10655/,Tecidos e costura
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/10659/,Almofadas e capas de almofada
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20528/,Mantas
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/18850/,Têxteis de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/20538/,Têxteis de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/18730/,Têxteis para crianças
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/18690/,Têxteis para bebé
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/24710/,Têxteis crianças 8-12
https://www.ikea.com/pt/pt/catalog/categories/departments/Textiles/24824/,Protetores de colchão e almofada
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/20633/,Tachos e panelas
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15937/,Conservação e organização de alimentos
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/20624/,Frigideiras e woks
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15927/,Acessórios de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/20636/,Artigos para forno
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/20647/,Utensílios de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15934/,Facas e tábuas de cortar
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15928/,Utensílios para forno
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/18850/,Têxteis de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15935/,Utensílios para medir e misturar
https://www.ikea.com/pt/pt/catalog/categories/departments/cooking/15938/,Acessórios p/lavar loiça
https://www.ikea.com/pt/pt/catalog/categories/departments/eating/18860/,Serviços de loiça
https://www.ikea.com/pt/pt/catalog/categories/departments/eating/18868/,Copos e jarros
https://www.ikea.com/pt/pt/catalog/categories/departments/eating/20538/,Têxteis de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/eating/20560/,Guardanapos e suportes para guardanapos
